GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
maven-code-coverage,com.mkyong.examples,StockService,47,0,4,0,15,0,6,0,4,0
maven-code-coverage,com.mkyong.examples,CalculatorService,11,0,2,0,5,0,3,0,2,0
maven-code-coverage,com.mkyong.examples,MessageBuilder,32,0,4,0,6,0,4,0,2,0
maven-code-coverage,com.mkyong.examples,ClientAppApplication,8,0,0,0,3,0,2,0,2,0
